County,Value
Adams,1167.65
Alamosa,722.64
Arapahoe,798.10
Archuleta,1350.18
Baca,2554.97
Bent,1512.86
Boulder,726.29
Broomfield,33.03
Chaffee,1013.40
Cheyenne,1778.28
Clear Creek,395.23
Conejos,1287.39
Costilla,1226.95
Crowley,787.42
Custer,738.63
Delta,1142.05
Denver,153.00
Dolores,1067.05
Douglas,840.25
Eagle,1684.53
El Paso,2126.80
Elbert,1850.85
Fremont,1533.07
Garfield,2947.56
Gilpin,149.90
Grand,1846.33
Gunnison,3239.10
Hinsdale,1117.25
Huerfano,1591.00
Jackson,1613.72
Jefferson,764.21
Kiowa,1767.77
Kit Carson,2160.82
La Plata,1692.08
Lake,376.91
Larimer,2596.00
Las Animas,4772.67
Lincoln,2577.63
Logan,1838.55
Mesa,3328.97
Mineral,875.67
Moffat,4743.29
Montezuma,2029.53
Montrose,2240.70
Morgan,1280.43
Otero,1261.96
Ouray,541.59
Park,2193.85
Phillips,687.93
Pitkin,970.70
Prowers,1638.40
Pueblo,2386.10
Rio Blanco,3220.93
Rio Grande,911.96
Routt,2362.03
Saguache,3168.53
San Juan,387.49
San Miguel,1286.61
Sedgwick,548.04
Summit,608.36
Teller,557.06
Washington,2518.03
Weld,3987.24
Yuma,2364.41
