ELBERT,Elbert,Elbert County,39,26686,Deaths Among COVID-19 Cases in Colorado by County,Deaths,13,,4/30/2021,178001
ELBERT,Elbert,Elbert County,39,26686,"Deaths Among COVID-19 Cases Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,48.7,4/30/2021,178002
ELBERT,Elbert,Elbert County,39,26686,Total COVID-19 Tests Performed in Colorado by County,Total Tests Performed,19754,,4/30/2021,178003
ELBERT,Elbert,Elbert County,39,26686,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by PCR,,87.7,4/30/2021,178004
ELBERT,Elbert,Elbert County,39,26686,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by Serology,,12.3,4/30/2021,178005
ELBERT,Elbert,Elbert County,39,26686,"Total COVID-19 Testing Rate per 100,000 People in Colorado by County","Rate Per 100,000",,74024,4/30/2021,178006
FREMONT,Fremont,Fremont County,43,47645,Cases of COVID-19 in Colorado by County,Cases,6032,,4/30/2021,178007
FREMONT,Fremont,Fremont County,43,47645,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,12660.3,4/30/2021,178008
FREMONT,Fremont,Fremont County,43,47645,Deaths Among COVID-19 Cases in Colorado by County,Deaths,55,,4/30/2021,178009
FREMONT,Fremont,Fremont County,43,47645,"Deaths Among COVID-19 Cases Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,115.4,4/30/2021,178010
FREMONT,Fremont,Fremont County,43,47645,Total COVID-19 Tests Performed in Colorado by County,Total Tests Performed,163893,,4/30/2021,178011
FREMONT,Fremont,Fremont County,43,47645,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by PCR,,98.8,4/30/2021,178012
FREMONT,Fremont,Fremont County,43,47645,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by Serology,,1.2,4/30/2021,178013
FREMONT,Fremont,Fremont County,43,47645,"Total COVID-19 Testing Rate per 100,000 People in Colorado by County","Rate Per 100,000",,343988,4/30/2021,178014
GARFIELD,Garfield,Garfield County,45,60168,Cases of COVID-19 in Colorado by County,Cases,5760,,4/30/2021,178015
GARFIELD,Garfield,Garfield County,45,60168,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,9573.2,4/30/2021,178016
GARFIELD,Garfield,Garfield County,45,60168,Deaths Among COVID-19 Cases in Colorado by County,Deaths,38,,4/30/2021,178017
GARFIELD,Garfield,Garfield County,45,60168,"Deaths Among COVID-19 Cases Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,63.2,4/30/2021,178018
ALAMOSA,Alamosa,Alamosa County,3,16181,"Total COVID-19 Testing Rate per 100,000 People in Colorado by County","Rate Per 100,000",,113213,4/30/2021,178019
GARFIELD,Garfield,Garfield County,45,60168,Total COVID-19 Tests Performed in Colorado by County,Total Tests Performed,72514,,4/30/2021,178020
GARFIELD,Garfield,Garfield County,45,60168,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by PCR,,96,4/30/2021,178021
DELTA,Delta,Delta County,29,31173,Cases of COVID-19 in Colorado by County,Cases,2669,,4/30/2021,178022
HINSDALE,Hinsdale,Hinsdale County,53,819,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by PCR,,93.1,4/30/2021,178023
ARAPAHOE,Arapahoe,Arapahoe County,5,656822,Cases of COVID-19 in Colorado by County,Cases,57632,,4/30/2021,178024
GARFIELD,Garfield,Garfield County,45,60168,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by Serology,,4,4/30/2021,178025
DELTA,Delta,Delta County,29,31173,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,8561.9,4/30/2021,178027
HINSDALE,Hinsdale,Hinsdale County,53,819,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by Serology,,6.9,4/30/2021,178028
HINSDALE,Hinsdale,Hinsdale County,53,819,"Total COVID-19 Testing Rate per 100,000 People in Colorado by County","Rate Per 100,000",,28205,4/30/2021,178029
HUERFANO,Huerfano,Huerfano County,55,6854,Cases of COVID-19 in Colorado by County,Cases,385,,4/30/2021,178030
HUERFANO,Huerfano,Huerfano County,55,6854,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,5617.2,4/30/2021,178031
HUERFANO,Huerfano,Huerfano County,55,6854,Deaths Among COVID-19 Cases in Colorado by County,Deaths,17,,4/30/2021,178032
HUERFANO,Huerfano,Huerfano County,55,6854,"Deaths Among COVID-19 Cases Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,248,4/30/2021,178033
HUERFANO,Huerfano,Huerfano County,55,6854,Total COVID-19 Tests Performed in Colorado by County,Total Tests Performed,18105,,4/30/2021,178034
HUERFANO,Huerfano,Huerfano County,55,6854,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by PCR,,98.9,4/30/2021,178035
HUERFANO,Huerfano,Huerfano County,55,6854,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by Serology,,1.1,4/30/2021,178036
HUERFANO,Huerfano,Huerfano County,55,6854,"Total COVID-19 Testing Rate per 100,000 People in Colorado by County","Rate Per 100,000",,264152,4/30/2021,178037
International,International,International,,,Cases of COVID-19 in Colorado by County,Cases,66,,4/30/2021,178038
International,International,International,,,Deaths Among COVID-19 Cases in Colorado by County,Deaths,0,,4/30/2021,178039
JACKSON,Jackson,Jackson County,57,1383,Cases of COVID-19 in Colorado by County,Cases,56,,4/30/2021,178040
JACKSON,Jackson,Jackson County,57,1383,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,4049.2,4/30/2021,178041
JACKSON,Jackson,Jackson County,57,1383,Deaths Among COVID-19 Cases in Colorado by County,Deaths,0,,4/30/2021,178042
JACKSON,Jackson,Jackson County,57,1383,"Deaths Among COVID-19 Cases Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,0,4/30/2021,178043
JACKSON,Jackson,Jackson County,57,1383,Total COVID-19 Tests Performed in Colorado by County,Total Tests Performed,987,,4/30/2021,178044
JACKSON,Jackson,Jackson County,57,1383,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by PCR,,94.1,4/30/2021,178045
JACKSON,Jackson,Jackson County,57,1383,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by Serology,,5.9,4/30/2021,178046
JACKSON,Jackson,Jackson County,57,1383,"Total COVID-19 Testing Rate per 100,000 People in Colorado by County","Rate Per 100,000",,71367,4/30/2021,178047
JEFFERSON,Jefferson,Jefferson County,59,583081,Cases of COVID-19 in Colorado by County,Cases,45079,,4/30/2021,178048
JEFFERSON,Jefferson,Jefferson County,59,583081,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,7731.2,4/30/2021,178049
JEFFERSON,Jefferson,Jefferson County,59,583081,Deaths Among COVID-19 Cases in Colorado by County,Deaths,750,,4/30/2021,178050
JEFFERSON,Jefferson,Jefferson County,59,583081,"Deaths Among COVID-19 Cases Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,128.6,4/30/2021,178051
JEFFERSON,Jefferson,Jefferson County,59,583081,Total COVID-19 Tests Performed in Colorado by County,Total Tests Performed,808498,,4/30/2021,178052
JEFFERSON,Jefferson,Jefferson County,59,583081,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by PCR,,91.6,4/30/2021,178053
JEFFERSON,Jefferson,Jefferson County,59,583081,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by Serology,,8.4,4/30/2021,178054
JEFFERSON,Jefferson,Jefferson County,59,583081,"Total COVID-19 Testing Rate per 100,000 People in Colorado by County","Rate Per 100,000",,138660,4/30/2021,178055
KIOWA,Kiowa,Kiowa County,61,1395,Cases of COVID-19 in Colorado by County,Cases,93,,4/30/2021,178056
KIOWA,Kiowa,Kiowa County,61,1395,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,6666.7,4/30/2021,178057
KIOWA,Kiowa,Kiowa County,61,1395,Deaths Among COVID-19 Cases in Colorado by County,Deaths,3,,4/30/2021,178058
KIOWA,Kiowa,Kiowa County,61,1395,Total COVID-19 Tests Performed in Colorado by County,Total Tests Performed,1993,,4/30/2021,178059
KIOWA,Kiowa,Kiowa County,61,1395,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by PCR,,98.1,4/30/2021,178060
KIOWA,Kiowa,Kiowa County,61,1395,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by Serology,,1.9,4/30/2021,178061
KIOWA,Kiowa,Kiowa County,61,1395,"Total COVID-19 Testing Rate per 100,000 People in Colorado by County","Rate Per 100,000",,142867,4/30/2021,178062
KIT CARSON,Kit Carson,Kit Carson County,63,7128,Cases of COVID-19 in Colorado by County,Cases,606,,4/30/2021,178063
KIT CARSON,Kit Carson,Kit Carson County,63,7128,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,8501.7,4/30/2021,178064
KIT CARSON,Kit Carson,Kit Carson County,63,7128,Deaths Among COVID-19 Cases in Colorado by County,Deaths,11,,4/30/2021,178065
KIT CARSON,Kit Carson,Kit Carson County,63,7128,"Deaths Among COVID-19 Cases Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,154.3,4/30/2021,178066
KIT CARSON,Kit Carson,Kit Carson County,63,7128,Total COVID-19 Tests Performed in Colorado by County,Total Tests Performed,4448,,4/30/2021,178067
KIT CARSON,Kit Carson,Kit Carson County,63,7128,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by PCR,,94.9,4/30/2021,178068
KIT CARSON,Kit Carson,Kit Carson County,63,7128,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by Serology,,5.1,4/30/2021,178069
