Days Since March 17,County,Population,Total Sum Cases,New Cases per Day,Average Cases Per 7 Days,Average Daily Change in Cases Per 7 Days,Area of County,Number of MIP Charges
380,Adams,517885,51495,0,0,0,1167.65,0
381,Adams,517885,51642,147,0,0,1167.65,0
382,Adams,517885,51797,155,0,0,1167.65,0
383,Adams,517885,51910,113,0,0,1167.65,0
384,Adams,517885,51997,87,0,0,1167.65,0
385,Adams,517885,52098,101,0,0,1167.65,0
386,Adams,517885,52241,143,0,0,1167.65,0
387,Adams,517885,52421,180,132.28571428571428,25.714285714285715,1167.65,0
388,Adams,517885,52619,198,160.57142857142858,7.285714285714286,1167.65,0
389,Adams,517885,52761,142,159.85714285714286,-1.8571428571428572,1167.65,0
390,Adams,517885,52901,140,157.71428571428572,3.857142857142857,1167.65,0
391,Adams,517885,52997,96,155.28571428571428,1.2857142857142858,1167.65,0
392,Adams,517885,53153,156,165.14285714285714,7.857142857142857,1167.65,0
393,Adams,517885,53338,185,177.14285714285714,6.0,1167.65,0
394,Adams,517885,53483,145,177.42857142857142,-5.0,1167.65,0
395,Adams,517885,53703,220,183.14285714285714,3.142857142857143,1167.65,0
396,Adams,517885,53863,160,177.71428571428572,2.5714285714285716,1167.65,0
397,Adams,517885,54024,161,180.42857142857142,3.0,1167.65,0
398,Adams,517885,54131,107,175.71428571428572,1.5714285714285714,1167.65,0
399,Adams,517885,54321,190,189.14285714285714,4.857142857142857,1167.65,0
400,Adams,517885,54450,129,185.28571428571428,-8.0,1167.65,0
401,Adams,517885,54706,256,195.42857142857142,15.857142857142858,1167.65,0
402,Adams,517885,54888,182,200.71428571428572,-5.428571428571429,1167.65,0
403,Adams,517885,55142,254,205.57142857142858,13.428571428571429,1167.65,0
404,Adams,517885,55276,134,201.85714285714286,-3.857142857142857,1167.65,0
405,Adams,517885,55372,96,192.57142857142858,-1.5714285714285714,1167.65,0
406,Adams,517885,55572,200,205.85714285714286,1.4285714285714286,1167.65,0
407,Adams,517885,55682,110,194.42857142857142,-2.7142857142857144,1167.65,0
408,Adams,517885,56038,356,226.85714285714286,14.285714285714286,1167.65,0
409,Adams,517885,56204,166,214.0,-2.2857142857142856,1167.65,0
380,Alamosa,16181,1351,0,0,0,722.64,0
381,Alamosa,16181,1350,-1,0,0,722.64,0
382,Alamosa,16181,1349,-1,0,0,722.64,0
383,Alamosa,16181,1352,3,0,0,722.64,0
384,Alamosa,16181,1351,-1,0,0,722.64,0
385,Alamosa,16181,1355,4,0,0,722.64,0
386,Alamosa,16181,1360,5,0,0,722.64,0
387,Alamosa,16181,1368,8,2.4285714285714284,1.1428571428571428,722.64,0
388,Alamosa,16181,1380,12,4.142857142857143,1.8571428571428572,722.64,0
389,Alamosa,16181,1383,3,4.714285714285714,0.5714285714285714,722.64,0
390,Alamosa,16181,1385,2,5.142857142857143,-0.14285714285714285,722.64,0
391,Alamosa,16181,1388,3,5.142857142857143,0.5714285714285714,722.64,0
392,Alamosa,16181,1392,4,5.857142857142857,0.0,722.64,0
393,Alamosa,16181,1392,0,5.285714285714286,-0.7142857142857143,722.64,0
394,Alamosa,16181,1397,5,5.285714285714286,-0.42857142857142855,722.64,0
395,Alamosa,16181,1404,7,5.142857142857143,-0.7142857142857143,722.64,0
396,Alamosa,16181,1404,0,3.4285714285714284,-0.42857142857142855,722.64,0
397,Alamosa,16181,1409,5,3.7142857142857144,0.42857142857142855,722.64,0
398,Alamosa,16181,1411,2,3.7142857142857144,-0.14285714285714285,722.64,0
399,Alamosa,16181,1415,4,3.857142857142857,0.0,722.64,0
400,Alamosa,16181,1420,5,4.0,0.7142857142857143,722.64,0
401,Alamosa,16181,1423,3,4.428571428571429,-0.2857142857142857,722.64,0
402,Alamosa,16181,1429,6,4.571428571428571,-0.14285714285714285,722.64,0
403,Alamosa,16181,1429,0,3.5714285714285716,0.0,722.64,0
404,Alamosa,16181,1435,6,4.428571428571429,0.14285714285714285,722.64,0
405,Alamosa,16181,1437,2,4.0,0.0,722.64,0
406,Alamosa,16181,1438,1,3.857142857142857,-0.42857142857142855,722.64,0
407,Alamosa,16181,1443,5,4.0,0.0,722.64,0
408,Alamosa,16181,1447,4,3.857142857142857,0.14285714285714285,722.64,0
409,Alamosa,16181,1454,7,4.428571428571429,0.14285714285714285,722.64,0
380,Arapahoe,656822,52135,0,0,0,798.10,11
381,Arapahoe,656822,52279,144,0,0,798.10,11
382,Arapahoe,656822,52447,168,0,0,798.10,11
383,Arapahoe,656822,52580,133,0,0,798.10,11
384,Arapahoe,656822,52671,91,0,0,798.10,11
385,Arapahoe,656822,52789,118,0,0,798.10,11
386,Arapahoe,656822,53007,218,0,0,798.10,11
387,Arapahoe,656822,53228,221,156.14285714285714,31.571428571428573,798.10,11
388,Arapahoe,656822,53452,224,188.14285714285714,11.428571428571429,798.10,11
389,Arapahoe,656822,53612,160,190.42857142857142,-1.1428571428571428,798.10,11
390,Arapahoe,656822,53770,158,189.0,3.5714285714285716,798.10,11
391,Arapahoe,656822,53861,91,183.0,0.0,798.10,11
392,Arapahoe,656822,54078,217,201.0,14.142857142857142,798.10,11
393,Arapahoe,656822,54357,279,224.0,8.714285714285714,798.10,11
394,Arapahoe,656822,54530,173,217.57142857142858,-6.857142857142857,798.10,11
395,Arapahoe,656822,54795,265,223.85714285714286,5.857142857142857,798.10,11
396,Arapahoe,656822,54947,152,213.57142857142858,-1.1428571428571428,798.10,11
397,Arapahoe,656822,55108,161,213.71428571428572,0.42857142857142855,798.10,11
398,Arapahoe,656822,55192,84,203.14285714285714,-1.0,798.10,11
399,Arapahoe,656822,55432,240,224.42857142857142,3.2857142857142856,798.10,11
400,Arapahoe,656822,55595,163,216.71428571428572,-16.571428571428573,798.10,11
401,Arapahoe,656822,55891,296,219.14285714285714,17.571428571428573,798.10,11
402,Arapahoe,656822,56154,263,232.0,-0.2857142857142857,798.10,11
403,Arapahoe,656822,56380,226,226.42857142857142,10.571428571428571,798.10,11
404,Arapahoe,656822,56577,197,232.85714285714286,5.142857142857143,798.10,11
405,Arapahoe,656822,56709,132,228.71428571428572,6.857142857142857,798.10,11
406,Arapahoe,656822,56966,257,253.42857142857142,2.4285714285714284,798.10,11
407,Arapahoe,656822,57089,123,236.71428571428572,-5.714285714285714,798.10,11
408,Arapahoe,656822,57412,323,259.57142857142856,3.857142857142857,798.10,11
