LICENSEE NAME,DOING BUSINESS AS,LICENSE #,LICENSE TYPE,EXPIRES,STREET ADDRESS,CITY,STATE,ZIP
7908 ASPEN,"""7908""",,Sidewalk Service Area,,415 EAST HYMAN AVENUE,Aspen,CO,81611
7908 ASPEN LLC,"""7908""",03-09732,Hotel & Restaurant (city),,05/01/2021 415 EAST HYMAN AVENUE,Aspen,CO,81611
PARK THEATER MALL LLC,"""THE SLAB"" & PARK THEATRE CAFE 03-01524",,Tavern (city),,06/23/2021 116 EAST ELKHORN AVENUE,Estes Park,CO,80517
#VYBE LLC,#VYBE,03-07942,Tavern (city),,06/25/2021 1027 NORTH BROADWAY,Denver,CO,80203
JULIE SCARCELLA,.38 SPECIAL DISCOUNT WINE AND LI 03-07177,,Liquor Store (city),,11/22/2021 132 WEST 7TH,Walsenburg,CO,81089
COLORADO EXTREME LLC,1 UP COLFAX THE,03-00266,Tavern (city),,10/30/2021 717 E COLFAX AVENUE,Denver,CO,80203
10 BARREL BREWING LLC,10 BARREL BREWING,03-06349,Manufacturer (brewery),,06/15/2021 2620 WALNUT STREET,Denver,CO,80205
10 BARREL BREWING LLC,10 BARREL BREWING,03-06348,Wholesale Beer (malt liquor),,06/15/2021 2620 WALNUT STREET,Denver,CO,80205
10 MILE MUSIC LLC,10 MILE MUSIC HALL,03-10478,Tavern (city),,09/16/2021 710 EAST MAIN STREET,Frisco,CO,80443
975 LINCOLN ST LLC,100% DE AGAVE MEXICAN GRILL AND03-00534,,Hotel & Restaurant (city),,03/11/2022 975 LINCOLN ST UNIT M,Denver,CO,80203
TASTE OF FUSION LLC,101 ASIAN FUSION,03-14281,Hotel & Restaurant (city),,02/09/2022 101 MADISON STREET,Denver,CO,80206
1043 Plan B llc,"1043 PLAN B, LLC",03-12108,Hotel & Restaurant (city),,08/06/2021 1043 BROADWAY,Denver,CO,80203
REFUGE LLC,105 SOCIAL HOUSE,03-11624,Hotel & Restaurant (city),,06/27/2021 75 HIGHWAY 105,Palmer Lake,CO,80133
105 WEST BREWING COMPANY105 WEST BREWING COMPANY,,03-04673,Wholesale Beer (malt liquor),,07/22/2021 1049 PARK STREET,Castle Rock,CO,80109
105 WEST BREWING COMPANY105 WEST BREWING COMPANY / NEX03-04674,,,Manufacturer (brewery),,07/22/2021 1049 PARK STREET,Castle Rock,CO,80109
10TH HOLE BAR & GRILL LLC,10TH HOLE BAR & GRILL,03-00781,Hotel & Restaurant (city),,07/08/2021 405 ELM AVENUE,Rocky Ford,CO,81067
10TH MOUNTAIN WHISKEY AND10TH MOUNTAIN WHISKEY AND SPIR03-03017,,,Wholesale (vinous & spirituous),,06/13/2021 500 TRAIL GULCH ROAD UNIT A,Gypsum,CO,81637
10TH MOUNTAIN WHISKEY AND10TH MOUNTAIN WHISKEY AND SPIR03-03016,,,Manufacturer (distillery & rectifie,,06/13/2021 500 TRAIL GULCH ROAD UNIT A,Gypsum,CO,81637
HB INVESTMENTS INC,10TH STREET LIQUOR,03-01010,Liquor Store (city),,04/16/2021 4751 W 10TH ST,Greeley,CO,80634
